Source,Target,Type,Weight
1.96E+17,7.58E+18,Undirected,1
7.58E+18,7.65E+18,Undirected,1
7.24E+18,7.58E+18,Undirected,1
7.16E+18,7.58E+18,Undirected,1
6.86E+18,7.58E+18,Undirected,1
7.29E+18,7.58E+18,Undirected,1
7.30E+18,7.58E+18,Undirected,1
7.54E+18,7.58E+18,Undirected,1
6.78E+18,7.58E+18,Undirected,1
7.31E+18,7.58E+18,Undirected,1
27546448,7.58E+18,Undirected,1
7.55E+18,7.58E+18,Undirected,1
7.54E+18,7.58E+18,Undirected,1
7.12E+18,7.58E+18,Undirected,1
7.54E+18,7.58E+18,Undirected,1
6.81E+18,7.58E+18,Undirected,1
1.48E+17,7.58E+18,Undirected,1
7.00E+18,7.58E+18,Undirected,1
6.66E+18,7.58E+18,Undirected,1
7.11E+18,7.58E+18,Undirected,1
7.13E+18,7.58E+18,Undirected,1
6.98E+18,7.58E+18,Undirected,1
6.65E+18,7.58E+18,Undirected,1
6.78E+18,7.58E+18,Undirected,1
7.49E+18,7.58E+18,Undirected,1
7.58E+18,7.65E+18,Undirected,1
7.46E+18,7.58E+18,Undirected,1
7.23E+18,7.58E+18,Undirected,1
6.53E+18,7.58E+18,Undirected,1
7.18E+18,7.58E+18,Undirected,1
6.97E+18,7.58E+18,Undirected,1
6.79E+18,7.58E+18,Undirected,1
6.62E+18,7.58E+18,Undirected,1
6.80E+18,7.58E+18,Undirected,1
6.89E+18,7.58E+18,Undirected,1
7.34E+18,7.58E+18,Undirected,2
7.58E+18,8.22E+16,Undirected,1
6.78E+18,7.58E+18,Undirected,1
7.13E+18,7.58E+18,Undirected,1
7.57E+18,7.58E+18,Undirected,1
7.24E+18,7.58E+18,Undirected,1
7.09E+18,7.58E+18,Undirected,1
7.12E+18,7.58E+18,Undirected,1
6.91E+18,7.58E+18,Undirected,1
7.25E+18,7.58E+18,Undirected,1
6.86E+18,7.58E+18,Undirected,1
7.53E+18,7.58E+18,Undirected,2
6.83E+18,7.58E+18,Undirected,1
6.77E+18,7.58E+18,Undirected,1
7.11E+18,7.58E+18,Undirected,1
7.59E+18,7.60E+18,Undirected,1
7.29E+18,7.59E+18,Undirected,1
6.85E+18,7.59E+18,Undirected,1
7.57E+18,7.59E+18,Undirected,1
6.88E+18,7.59E+18,Undirected,1
6.56E+18,7.59E+18,Undirected,1
6.93E+18,7.59E+18,Undirected,1
6.79E+18,7.59E+18,Undirected,1
7.59E+18,7.63E+18,Undirected,1
6.86E+18,7.59E+18,Undirected,1
1.96E+17,7.59E+18,Undirected,1
7.59E+18,7.65E+18,Undirected,1
7.24E+18,7.59E+18,Undirected,1
7.16E+18,7.59E+18,Undirected,1
6.86E+18,7.59E+18,Undirected,1
7.29E+18,7.59E+18,Undirected,1
7.30E+18,7.59E+18,Undirected,1
7.54E+18,7.59E+18,Undirected,1
6.78E+18,7.59E+18,Undirected,1
7.31E+18,7.59E+18,Undirected,1
27546448,7.59E+18,Undirected,1
7.55E+18,7.59E+18,Undirected,1
7.54E+18,7.59E+18,Undirected,1
7.12E+18,7.59E+18,Undirected,1
7.54E+18,7.59E+18,Undirected,1
6.81E+18,7.59E+18,Undirected,1
1.48E+17,7.59E+18,Undirected,1
7.00E+18,7.59E+18,Undirected,1
6.66E+18,7.59E+18,Undirected,1
7.11E+18,7.59E+18,Undirected,1
7.13E+18,7.59E+18,Undirected,1
6.98E+18,7.59E+18,Undirected,1
6.65E+18,7.59E+18,Undirected,1
6.78E+18,7.59E+18,Undirected,1
7.49E+18,7.59E+18,Undirected,1
7.59E+18,7.65E+18,Undirected,1
7.46E+18,7.59E+18,Undirected,1
7.23E+18,7.59E+18,Undirected,1
6.53E+18,7.59E+18,Undirected,1
7.18E+18,7.59E+18,Undirected,1
6.97E+18,7.59E+18,Undirected,1
6.79E+18,7.59E+18,Undirected,1
6.62E+18,7.59E+18,Undirected,1
6.80E+18,7.59E+18,Undirected,1
6.89E+18,7.59E+18,Undirected,1
7.34E+18,7.59E+18,Undirected,1
7.59E+18,8.22E+16,Undirected,1
6.78E+18,7.59E+18,Undirected,1
7.13E+18,7.59E+18,Undirected,1
7.57E+18,7.59E+18,Undirected,1
7.24E+18,7.59E+18,Undirected,1
7.09E+18,7.59E+18,Undirected,1
7.12E+18,7.59E+18,Undirected,1
6.91E+18,7.59E+18,Undirected,1
7.25E+18,7.59E+18,Undirected,1
6.86E+18,7.59E+18,Undirected,1
7.53E+18,7.59E+18,Undirected,1
6.83E+18,7.59E+18,Undirected,1
6.77E+18,7.59E+18,Undirected,1
7.11E+18,7.59E+18,Undirected,1
7.29E+18,7.60E+18,Undirected,1
7.57E+18,7.60E+18,Undirected,1
6.56E+18,7.60E+18,Undirected,1
6.93E+18,7.60E+18,Undirected,1
6.79E+18,7.60E+18,Undirected,1
7.60E+18,7.63E+18,Undirected,1
6.86E+18,7.60E+18,Undirected,1
1.96E+17,7.60E+18,Undirected,1
7.60E+18,7.65E+18,Undirected,1
7.24E+18,7.60E+18,Undirected,1
7.16E+18,7.60E+18,Undirected,1
6.86E+18,7.60E+18,Undirected,1
7.29E+18,7.60E+18,Undirected,1
7.30E+18,7.60E+18,Undirected,1
7.54E+18,7.60E+18,Undirected,1
6.78E+18,7.60E+18,Undirected,1
7.31E+18,7.60E+18,Undirected,1
27546448,7.60E+18,Undirected,1
7.55E+18,7.60E+18,Undirected,1
7.54E+18,7.60E+18,Undirected,1
7.12E+18,7.60E+18,Undirected,1
7.54E+18,7.60E+18,Undirected,1
6.81E+18,7.60E+18,Undirected,1
1.48E+17,7.60E+18,Undirected,1
7.00E+18,7.60E+18,Undirected,1
6.66E+18,7.60E+18,Undirected,1
7.11E+18,7.60E+18,Undirected,1
7.13E+18,7.60E+18,Undirected,1
6.98E+18,7.60E+18,Undirected,1
6.65E+18,7.60E+18,Undirected,1
6.78E+18,7.60E+18,Undirected,1
7.49E+18,7.60E+18,Undirected,1
7.60E+18,7.65E+18,Undirected,1
7.46E+18,7.60E+18,Undirected,1
7.23E+18,7.60E+18,Undirected,1
6.53E+18,7.60E+18,Undirected,1
7.18E+18,7.60E+18,Undirected,1
6.79E+18,7.60E+18,Undirected,1
6.62E+18,7.60E+18,Undirected,1
6.80E+18,7.60E+18,Undirected,1
6.89E+18,7.60E+18,Undirected,1
7.34E+18,7.60E+18,Undirected,1
7.60E+18,8.22E+16,Undirected,1
6.78E+18,7.60E+18,Undirected,1
7.13E+18,7.60E+18,Undirected,1
7.57E+18,7.60E+18,Undirected,1
7.24E+18,7.60E+18,Undirected,1
7.09E+18,7.60E+18,Undirected,1
7.12E+18,7.60E+18,Undirected,1
6.91E+18,7.60E+18,Undirected,1
7.25E+18,7.60E+18,Undirected,1
6.86E+18,7.60E+18,Undirected,1
7.53E+18,7.60E+18,Undirected,1
6.83E+18,7.60E+18,Undirected,1
6.77E+18,7.60E+18,Undirected,1
7.11E+18,7.60E+18,Undirected,1
6.85E+18,7.29E+18,Undirected,1
7.29E+18,7.57E+18,Undirected,1
6.88E+18,7.29E+18,Undirected,1
6.56E+18,7.29E+18,Undirected,1
6.93E+18,7.29E+18,Undirected,1
6.79E+18,7.29E+18,Undirected,1
7.29E+18,7.63E+18,Undirected,1
6.86E+18,7.29E+18,Undirected,1
1.96E+17,7.29E+18,Undirected,1
7.29E+18,7.65E+18,Undirected,1
7.24E+18,7.29E+18,Undirected,1
7.16E+18,7.29E+18,Undirected,1
6.86E+18,7.29E+18,Undirected,1
7.29E+18,7.29E+18,Undirected,1
7.29E+18,7.30E+18,Undirected,1
7.29E+18,7.54E+18,Undirected,1
6.78E+18,7.29E+18,Undirected,1
7.29E+18,7.31E+18,Undirected,1
27546448,7.29E+18,Undirected,1
7.29E+18,7.55E+18,Undirected,1
7.29E+18,7.54E+18,Undirected,1
7.12E+18,7.29E+18,Undirected,1
7.29E+18,7.54E+18,Undirected,1
6.81E+18,7.29E+18,Undirected,1
1.48E+17,7.29E+18,Undirected,1
7.00E+18,7.29E+18,Undirected,1
6.66E+18,7.29E+18,Undirected,1
7.11E+18,7.29E+18,Undirected,1
7.13E+18,7.29E+18,Undirected,1
6.65E+18,7.29E+18,Undirected,1
6.78E+18,7.29E+18,Undirected,1
7.29E+18,7.49E+18,Undirected,1
7.29E+18,7.65E+18,Undirected,1
7.29E+18,7.46E+18,Undirected,1
7.23E+18,7.29E+18,Undirected,1
6.53E+18,7.29E+18,Undirected,1
6.97E+18,7.29E+18,Undirected,1
6.62E+18,7.29E+18,Undirected,1
6.89E+18,7.29E+18,Undirected,1
7.29E+18,7.34E+18,Undirected,1
6.78E+18,7.29E+18,Undirected,1
7.29E+18,7.57E+18,Undirected,1
7.24E+18,7.29E+18,Undirected,1
7.09E+18,7.29E+18,Undirected,1
7.12E+18,7.29E+18,Undirected,1
6.91E+18,7.29E+18,Undirected,1
7.25E+18,7.29E+18,Undirected,1
6.86E+18,7.29E+18,Undirected,1
7.29E+18,7.53E+18,Undirected,1
6.77E+18,7.29E+18,Undirected,1
6.85E+18,7.57E+18,Undirected,1
6.56E+18,6.85E+18,Undirected,1
6.85E+18,6.93E+18,Undirected,1
6.79E+18,6.85E+18,Undirected,1
6.85E+18,7.63E+18,Undirected,1
6.85E+18,6.86E+18,Undirected,1
1.96E+17,6.85E+18,Undirected,1
6.85E+18,7.65E+18,Undirected,1
6.85E+18,7.24E+18,Undirected,1
6.85E+18,7.16E+18,Undirected,1
6.85E+18,6.86E+18,Undirected,1
6.85E+18,7.29E+18,Undirected,1
6.85E+18,7.30E+18,Undirected,1
6.85E+18,7.54E+18,Undirected,1
6.78E+18,6.85E+18,Undirected,1
6.85E+18,7.31E+18,Undirected,1
27546448,6.85E+18,Undirected,1
6.85E+18,7.55E+18,Undirected,1
6.85E+18,7.54E+18,Undirected,1
6.85E+18,7.12E+18,Undirected,1
6.85E+18,7.54E+18,Undirected,1
6.81E+18,6.85E+18,Undirected,1
1.48E+17,6.85E+18,Undirected,1
6.85E+18,7.00E+18,Undirected,1
6.66E+18,6.85E+18,Undirected,1
6.85E+18,7.11E+18,Undirected,1
6.85E+18,7.13E+18,Undirected,1
6.85E+18,6.98E+18,Undirected,1
6.65E+18,6.85E+18,Undirected,1
6.78E+18,6.85E+18,Undirected,1
6.85E+18,7.49E+18,Undirected,1
6.85E+18,7.65E+18,Undirected,1
6.85E+18,7.46E+18,Undirected,1
6.85E+18,7.23E+18,Undirected,1
6.53E+18,6.85E+18,Undirected,1
6.85E+18,7.18E+18,Undirected,1
6.79E+18,6.85E+18,Undirected,1
6.62E+18,6.85E+18,Undirected,1
6.80E+18,6.85E+18,Undirected,1
6.85E+18,6.89E+18,Undirected,1
6.85E+18,7.34E+18,Undirected,1
6.85E+18,8.22E+16,Undirected,1
6.78E+18,6.85E+18,Undirected,1
6.85E+18,7.13E+18,Undirected,1
6.85E+18,7.57E+18,Undirected,1
6.85E+18,7.24E+18,Undirected,1
6.85E+18,7.09E+18,Undirected,1
6.85E+18,7.12E+18,Undirected,1
6.85E+18,6.91E+18,Undirected,1
6.85E+18,7.25E+18,Undirected,1
6.85E+18,6.86E+18,Undirected,1
6.85E+18,7.53E+18,Undirected,1
6.83E+18,6.85E+18,Undirected,1
6.77E+18,6.85E+18,Undirected,1
6.85E+18,7.11E+18,Undirected,1
6.88E+18,7.57E+18,Undirected,1
6.56E+18,7.57E+18,Undirected,1
6.93E+18,7.57E+18,Undirected,1
6.79E+18,7.57E+18,Undirected,1
7.57E+18,7.63E+18,Undirected,1
6.86E+18,7.57E+18,Undirected,1
1.96E+17,7.57E+18,Undirected,1
7.57E+18,7.65E+18,Undirected,1
7.24E+18,7.57E+18,Undirected,1
7.16E+18,7.57E+18,Undirected,1
6.86E+18,7.57E+18,Undirected,1
7.29E+18,7.57E+18,Undirected,1
7.30E+18,7.57E+18,Undirected,1
7.54E+18,7.57E+18,Undirected,1
6.78E+18,7.57E+18,Undirected,1
7.31E+18,7.57E+18,Undirected,1
27546448,7.57E+18,Undirected,1
7.55E+18,7.57E+18,Undirected,1
7.54E+18,7.57E+18,Undirected,1
7.12E+18,7.57E+18,Undirected,1
7.54E+18,7.57E+18,Undirected,1
6.81E+18,7.57E+18,Undirected,1
1.48E+17,7.57E+18,Undirected,1
7.00E+18,7.57E+18,Undirected,1
6.66E+18,7.57E+18,Undirected,1
7.11E+18,7.57E+18,Undirected,1
7.13E+18,7.57E+18,Undirected,1
6.98E+18,7.57E+18,Undirected,1
6.65E+18,7.57E+18,Undirected,1
6.78E+18,7.57E+18,Undirected,1
7.49E+18,7.57E+18,Undirected,1
7.57E+18,7.65E+18,Undirected,1
7.46E+18,7.57E+18,Undirected,1
7.23E+18,7.57E+18,Undirected,1
6.53E+18,7.57E+18,Undirected,1
7.18E+18,7.57E+18,Undirected,1
6.97E+18,7.57E+18,Undirected,1
6.79E+18,7.57E+18,Undirected,1
6.62E+18,7.57E+18,Undirected,1
6.80E+18,7.57E+18,Undirected,1
6.89E+18,7.57E+18,Undirected,1
7.34E+18,7.57E+18,Undirected,1
7.57E+18,8.22E+16,Undirected,1
6.78E+18,7.57E+18,Undirected,1
7.13E+18,7.57E+18,Undirected,1
7.57E+18,7.57E+18,Undirected,1
7.24E+18,7.57E+18,Undirected,1
7.09E+18,7.57E+18,Undirected,1
7.12E+18,7.57E+18,Undirected,1
6.91E+18,7.57E+18,Undirected,1
7.25E+18,7.57E+18,Undirected,1
6.86E+18,7.57E+18,Undirected,1
7.53E+18,7.57E+18,Undirected,1
6.83E+18,7.57E+18,Undirected,1
6.77E+18,7.57E+18,Undirected,1
7.11E+18,7.57E+18,Undirected,1
6.56E+18,6.88E+18,Undirected,1
6.88E+18,6.93E+18,Undirected,1
6.79E+18,6.88E+18,Undirected,1
6.88E+18,7.63E+18,Undirected,1
6.86E+18,6.88E+18,Undirected,1
1.96E+17,6.88E+18,Undirected,1
6.88E+18,7.65E+18,Undirected,1
6.88E+18,7.24E+18,Undirected,1
6.88E+18,7.16E+18,Undirected,1
6.86E+18,6.88E+18,Undirected,1
6.88E+18,7.29E+18,Undirected,1
6.88E+18,7.30E+18,Undirected,1
6.88E+18,7.54E+18,Undirected,1
6.78E+18,6.88E+18,Undirected,1
6.88E+18,7.31E+18,Undirected,1
27546448,6.88E+18,Undirected,1
6.88E+18,7.55E+18,Undirected,1
6.88E+18,7.54E+18,Undirected,1
6.88E+18,7.12E+18,Undirected,1
6.88E+18,7.54E+18,Undirected,1
6.81E+18,6.88E+18,Undirected,1
1.48E+17,6.88E+18,Undirected,1
6.88E+18,7.00E+18,Undirected,1
6.66E+18,6.88E+18,Undirected,1
6.88E+18,7.11E+18,Undirected,1
6.88E+18,7.13E+18,Undirected,1
6.88E+18,6.98E+18,Undirected,1
6.65E+18,6.88E+18,Undirected,1
6.78E+18,6.88E+18,Undirected,1
6.88E+18,7.49E+18,Undirected,1
6.88E+18,7.65E+18,Undirected,1
6.88E+18,7.46E+18,Undirected,1
6.88E+18,7.23E+18,Undirected,1
6.53E+18,6.88E+18,Undirected,1
6.88E+18,7.18E+18,Undirected,1
6.79E+18,6.88E+18,Undirected,1
6.62E+18,6.88E+18,Undirected,1
6.80E+18,6.88E+18,Undirected,1
6.88E+18,6.89E+18,Undirected,1
6.88E+18,7.34E+18,Undirected,1
6.88E+18,8.22E+16,Undirected,1
6.78E+18,6.88E+18,Undirected,1
6.88E+18,7.13E+18,Undirected,1
6.88E+18,7.57E+18,Undirected,1
6.88E+18,7.24E+18,Undirected,1
6.88E+18,7.09E+18,Undirected,1
6.88E+18,7.12E+18,Undirected,1
6.88E+18,6.91E+18,Undirected,1
6.88E+18,7.25E+18,Undirected,1
6.86E+18,6.88E+18,Undirected,1
6.88E+18,7.53E+18,Undirected,1
6.83E+18,6.88E+18,Undirected,1
6.77E+18,6.88E+18,Undirected,1
6.88E+18,7.11E+18,Undirected,1
6.56E+18,6.93E+18,Undirected,1
6.56E+18,6.79E+18,Undirected,1
6.56E+18,7.63E+18,Undirected,1
6.56E+18,6.86E+18,Undirected,1
1.96E+17,6.56E+18,Undirected,1
6.56E+18,7.65E+18,Undirected,1
6.56E+18,7.24E+18,Undirected,1
6.56E+18,7.16E+18,Undirected,1
6.56E+18,6.86E+18,Undirected,1
6.56E+18,7.29E+18,Undirected,1
6.56E+18,7.30E+18,Undirected,1
6.56E+18,7.54E+18,Undirected,1
6.56E+18,6.78E+18,Undirected,1
6.56E+18,7.31E+18,Undirected,1
27546448,6.56E+18,Undirected,1
6.56E+18,7.55E+18,Undirected,1
6.56E+18,7.54E+18,Undirected,1
6.56E+18,7.12E+18,Undirected,1
6.56E+18,7.54E+18,Undirected,1
6.56E+18,6.81E+18,Undirected,1
1.48E+17,6.56E+18,Undirected,1
6.56E+18,7.00E+18,Undirected,1
6.56E+18,6.66E+18,Undirected,1
6.56E+18,7.11E+18,Undirected,1
6.56E+18,7.13E+18,Undirected,1
6.56E+18,6.98E+18,Undirected,1
6.56E+18,6.65E+18,Undirected,1
6.56E+18,7.49E+18,Undirected,1
6.56E+18,7.65E+18,Undirected,1
6.56E+18,7.46E+18,Undirected,1
6.56E+18,7.23E+18,Undirected,1
6.53E+18,6.56E+18,Undirected,1
6.56E+18,7.18E+18,Undirected,1
6.56E+18,6.97E+18,Undirected,1
6.56E+18,6.79E+18,Undirected,1
6.56E+18,6.62E+18,Undirected,1
6.56E+18,6.80E+18,Undirected,1
6.56E+18,6.89E+18,Undirected,1
6.56E+18,7.34E+18,Undirected,1
6.56E+18,8.22E+16,Undirected,1
6.56E+18,6.78E+18,Undirected,1
6.56E+18,7.13E+18,Undirected,1
6.56E+18,7.57E+18,Undirected,1
6.56E+18,7.24E+18,Undirected,1
6.56E+18,7.09E+18,Undirected,1
6.56E+18,7.12E+18,Undirected,1
6.56E+18,6.91E+18,Undirected,1
6.56E+18,7.25E+18,Undirected,1
6.56E+18,6.86E+18,Undirected,1
6.56E+18,7.53E+18,Undirected,1
6.56E+18,6.83E+18,Undirected,1
6.56E+18,6.77E+18,Undirected,1
6.56E+18,7.11E+18,Undirected,1
6.79E+18,6.93E+18,Undirected,2
6.93E+18,7.63E+18,Undirected,2
6.86E+18,6.93E+18,Undirected,2
1.96E+17,6.93E+18,Undirected,2
6.93E+18,7.65E+18,Undirected,2
6.93E+18,7.24E+18,Undirected,2
6.93E+18,7.16E+18,Undirected,2
6.86E+18,6.93E+18,Undirected,2
6.93E+18,7.29E+18,Undirected,2
6.93E+18,7.30E+18,Undirected,2
6.93E+18,7.54E+18,Undirected,1
6.93E+18,7.31E+18,Undirected,1
27546448,6.93E+18,Undirected,1
6.93E+18,7.55E+18,Undirected,1
6.93E+18,7.54E+18,Undirected,1
6.93E+18,7.12E+18,Undirected,1
6.93E+18,7.54E+18,Undirected,2
6.81E+18,6.93E+18,Undirected,1
1.48E+17,6.93E+18,Undirected,1
6.93E+18,7.00E+18,Undirected,1
6.66E+18,6.93E+18,Undirected,1
6.93E+18,7.11E+18,Undirected,1
6.93E+18,7.13E+18,Undirected,1
6.93E+18,6.98E+18,Undirected,2
6.65E+18,6.93E+18,Undirected,1
6.78E+18,6.93E+18,Undirected,1
6.93E+18,7.49E+18,Undirected,1
6.93E+18,7.65E+18,Undirected,1
6.93E+18,7.46E+18,Undirected,1
6.93E+18,7.23E+18,Undirected,1
6.53E+18,6.93E+18,Undirected,1
6.93E+18,7.18E+18,Undirected,1
6.93E+18,6.97E+18,Undirected,2
6.79E+18,6.93E+18,Undirected,1
6.62E+18,6.93E+18,Undirected,1
6.80E+18,6.93E+18,Undirected,1
6.89E+18,6.93E+18,Undirected,1
6.93E+18,7.34E+18,Undirected,1
6.93E+18,8.22E+16,Undirected,1
6.78E+18,6.93E+18,Undirected,1
6.93E+18,7.13E+18,Undirected,1
6.93E+18,7.57E+18,Undirected,1
6.93E+18,7.24E+18,Undirected,1
6.93E+18,7.09E+18,Undirected,1
6.93E+18,7.12E+18,Undirected,1
6.91E+18,6.93E+18,Undirected,1
6.93E+18,7.25E+18,Undirected,1
6.86E+18,6.93E+18,Undirected,1
6.93E+18,7.53E+18,Undirected,1
6.83E+18,6.93E+18,Undirected,1
6.77E+18,6.93E+18,Undirected,1
6.93E+18,7.11E+18,Undirected,1
6.79E+18,7.63E+18,Undirected,2
6.79E+18,6.86E+18,Undirected,2
1.96E+17,6.79E+18,Undirected,2
6.79E+18,7.65E+18,Undirected,2
6.79E+18,7.24E+18,Undirected,2
6.79E+18,7.16E+18,Undirected,2
6.79E+18,6.86E+18,Undirected,2
6.79E+18,7.29E+18,Undirected,2
6.79E+18,7.30E+18,Undirected,2
6.79E+18,7.54E+18,Undirected,1
6.78E+18,6.79E+18,Undirected,2
6.79E+18,7.31E+18,Undirected,1
27546448,6.79E+18,Undirected,1
6.79E+18,7.55E+18,Undirected,1
6.79E+18,7.54E+18,Undirected,1
6.79E+18,7.12E+18,Undirected,1
6.79E+18,7.54E+18,Undirected,2
6.79E+18,6.81E+18,Undirected,1
1.48E+17,6.79E+18,Undirected,1
6.79E+18,7.00E+18,Undirected,1
6.79E+18,7.11E+18,Undirected,1
6.79E+18,7.13E+18,Undirected,1
6.79E+18,6.98E+18,Undirected,2
6.65E+18,6.79E+18,Undirected,1
6.78E+18,6.79E+18,Undirected,1
6.79E+18,7.49E+18,Undirected,1
6.79E+18,7.65E+18,Undirected,1
6.79E+18,7.46E+18,Undirected,1
6.79E+18,7.23E+18,Undirected,1
6.53E+18,6.79E+18,Undirected,1
6.79E+18,7.18E+18,Undirected,1
6.79E+18,6.97E+18,Undirected,2
6.79E+18,6.79E+18,Undirected,1
6.62E+18,6.79E+18,Undirected,1
6.79E+18,6.80E+18,Undirected,1
6.79E+18,6.89E+18,Undirected,1
6.79E+18,7.34E+18,Undirected,1
6.79E+18,8.22E+16,Undirected,1
6.78E+18,6.79E+18,Undirected,1
6.79E+18,7.13E+18,Undirected,1
6.79E+18,7.57E+18,Undirected,1
6.79E+18,7.24E+18,Undirected,1
6.79E+18,7.09E+18,Undirected,1
6.79E+18,7.12E+18,Undirected,1
6.79E+18,6.91E+18,Undirected,1
6.79E+18,7.25E+18,Undirected,1
6.79E+18,6.86E+18,Undirected,1
6.79E+18,7.53E+18,Undirected,1
6.79E+18,6.83E+18,Undirected,1
6.77E+18,6.79E+18,Undirected,1
6.79E+18,7.11E+18,Undirected,1
6.86E+18,7.63E+18,Undirected,2
1.96E+17,7.63E+18,Undirected,2
7.63E+18,7.65E+18,Undirected,2
7.24E+18,7.63E+18,Undirected,2
7.16E+18,7.63E+18,Undirected,2
6.86E+18,7.63E+18,Undirected,2
7.29E+18,7.63E+18,Undirected,2
7.30E+18,7.63E+18,Undirected,2
7.54E+18,7.63E+18,Undirected,1
6.78E+18,7.63E+18,Undirected,2
7.31E+18,7.63E+18,Undirected,1
27546448,7.63E+18,Undirected,1
7.55E+18,7.63E+18,Undirected,1
7.54E+18,7.63E+18,Undirected,1
7.12E+18,7.63E+18,Undirected,1
7.54E+18,7.63E+18,Undirected,2
6.81E+18,7.63E+18,Undirected,1
1.48E+17,7.63E+18,Undirected,1
7.00E+18,7.63E+18,Undirected,1
6.66E+18,7.63E+18,Undirected,1
7.11E+18,7.63E+18,Undirected,1
7.13E+18,7.63E+18,Undirected,1
6.98E+18,7.63E+18,Undirected,2
6.65E+18,7.63E+18,Undirected,1
6.78E+18,7.63E+18,Undirected,1
7.49E+18,7.63E+18,Undirected,1
7.63E+18,7.65E+18,Undirected,1
7.46E+18,7.63E+18,Undirected,1
7.23E+18,7.63E+18,Undirected,1
6.53E+18,7.63E+18,Undirected,1
7.18E+18,7.63E+18,Undirected,1
6.97E+18,7.63E+18,Undirected,2
6.79E+18,7.63E+18,Undirected,1
6.62E+18,7.63E+18,Undirected,1
6.80E+18,7.63E+18,Undirected,1
6.89E+18,7.63E+18,Undirected,1
7.34E+18,7.63E+18,Undirected,1
7.63E+18,8.22E+16,Undirected,1
6.78E+18,7.63E+18,Undirected,1
7.13E+18,7.63E+18,Undirected,1
7.57E+18,7.63E+18,Undirected,1
7.24E+18,7.63E+18,Undirected,1
7.09E+18,7.63E+18,Undirected,1
7.12E+18,7.63E+18,Undirected,1
6.91E+18,7.63E+18,Undirected,1
7.25E+18,7.63E+18,Undirected,1
6.86E+18,7.63E+18,Undirected,1
7.53E+18,7.63E+18,Undirected,1
6.83E+18,7.63E+18,Undirected,1
6.77E+18,7.63E+18,Undirected,1
7.11E+18,7.63E+18,Undirected,1
1.96E+17,6.86E+18,Undirected,2
6.86E+18,7.65E+18,Undirected,2
6.86E+18,7.24E+18,Undirected,2
6.86E+18,7.16E+18,Undirected,2
6.86E+18,6.86E+18,Undirected,2
6.86E+18,7.29E+18,Undirected,2
6.86E+18,7.30E+18,Undirected,2
6.86E+18,7.54E+18,Undirected,1
6.78E+18,6.86E+18,Undirected,2
6.86E+18,7.31E+18,Undirected,1
27546448,6.86E+18,Undirected,1
6.86E+18,7.55E+18,Undirected,1
6.86E+18,7.54E+18,Undirected,1
6.86E+18,7.12E+18,Undirected,1
6.86E+18,7.54E+18,Undirected,2
6.81E+18,6.86E+18,Undirected,1
1.48E+17,6.86E+18,Undirected,1
6.86E+18,7.00E+18,Undirected,1
6.66E+18,6.86E+18,Undirected,1
6.86E+18,7.11E+18,Undirected,1
6.86E+18,7.13E+18,Undirected,1
6.86E+18,6.98E+18,Undirected,2
6.65E+18,6.86E+18,Undirected,1
6.78E+18,6.86E+18,Undirected,1
6.86E+18,7.49E+18,Undirected,1
6.86E+18,7.65E+18,Undirected,1
6.86E+18,7.46E+18,Undirected,1
6.86E+18,7.23E+18,Undirected,1
6.53E+18,6.86E+18,Undirected,1
6.86E+18,7.18E+18,Undirected,1
6.86E+18,6.97E+18,Undirected,2
6.79E+18,6.86E+18,Undirected,1
6.62E+18,6.86E+18,Undirected,1
6.80E+18,6.86E+18,Undirected,1
6.86E+18,6.89E+18,Undirected,1
6.86E+18,7.34E+18,Undirected,1
6.86E+18,8.22E+16,Undirected,1
6.78E+18,6.86E+18,Undirected,1
6.86E+18,7.13E+18,Undirected,1
6.86E+18,7.57E+18,Undirected,1
6.86E+18,7.24E+18,Undirected,1
6.86E+18,7.09E+18,Undirected,1
6.86E+18,7.12E+18,Undirected,1
6.86E+18,6.91E+18,Undirected,1
6.86E+18,7.25E+18,Undirected,1
6.86E+18,6.86E+18,Undirected,1
6.86E+18,7.53E+18,Undirected,1
6.83E+18,6.86E+18,Undirected,1
6.77E+18,6.86E+18,Undirected,1
6.86E+18,7.11E+18,Undirected,1
1.96E+17,7.65E+18,Undirected,2
1.96E+17,7.24E+18,Undirected,2
1.96E+17,7.16E+18,Undirected,2
1.96E+17,6.86E+18,Undirected,2
1.96E+17,7.29E+18,Undirected,2
1.96E+17,7.30E+18,Undirected,2
1.96E+17,7.54E+18,Undirected,1
1.96E+17,6.78E+18,Undirected,3
1.96E+17,7.31E+18,Undirected,1
1.96E+17,27546448,Undirected,1
1.96E+17,7.55E+18,Undirected,1
1.96E+17,7.54E+18,Undirected,1
1.96E+17,7.12E+18,Undirected,1
1.96E+17,7.54E+18,Undirected,3
1.96E+17,6.81E+18,Undirected,1
1.48E+17,1.96E+17,Undirected,1
1.96E+17,7.00E+18,Undirected,1
1.96E+17,6.66E+18,Undirected,1
1.96E+17,7.11E+18,Undirected,1
1.96E+17,7.13E+18,Undirected,1
1.96E+17,6.98E+18,Undirected,2
1.96E+17,6.65E+18,Undirected,1
1.96E+17,6.78E+18,Undirected,1
1.96E+17,7.49E+18,Undirected,1
1.96E+17,7.65E+18,Undirected,1
1.96E+17,7.46E+18,Undirected,1
1.96E+17,7.23E+18,Undirected,1
1.96E+17,6.53E+18,Undirected,1
1.96E+17,7.18E+18,Undirected,1
